Level 1,Level 2 ,Cell Type ,Effect ID,Experiment ID,Term,platform_id,comparison_id,Estimate,-log(FDR),stage,Group Size,Disease Name,fdr
,,contractile pericyte,AD,GSE5667,DZ_vs_HC,skin_v1,AD__GSE5667__GPL96__AD_vs_HC,-0.000794763,0.186719686,datasets,12 | 5,atopic,0.650549451
Epithelial,Epithelial cell,melanocyte,AD,GSE5667,DZ_vs_HC,skin_v1,AD__GSE5667__GPL96__AD_vs_HC,-0.002292698,0.355897020,datasets,12 | 5,atopic,0.440659341
Epithelial,Epithelial cell,prickle cell,AD,GSE5667,DZ_vs_HC,skin_v1,AD__GSE5667__GPL96__AD_vs_HC,-2.377008185e-05,0.253983048,datasets,12 | 5,atopic,0.557207498
Epithelial,Epithelial cell,basal cell of epidermis,AD,GSE5667,DZ_vs_HC,skin_v1,AD__GSE5667__GPL96__AD_vs_HC,0.000492633,0.025320550,datasets,12 | 5,atopic,0.943364328
Epithelial,Epithelial cell,keratinocyte,AD,GSE5667,DZ_vs_HC,skin_v1,AD__GSE5667__GPL96__AD_vs_HC,-0.000763007,0.013150957,datasets,12 | 5,atopic,0.970172684
Epithelial,Epithelial cell,granular cell of epidermis,AD,GSE5667,DZ_vs_HC,skin_v1,AD__GSE5667__GPL96__AD_vs_HC,-0.000651390,0.005091436,datasets,12 | 5,atopic,0.988344988
Immune,B cell,plasma cell,AD,GSE5667,DZ_vs_HC,skin_v1,AD__GSE5667__GPL96__AD_vs_HC,-0.000726457,0.186719686,datasets,12 | 5,atopic,0.650549451
Immune,B cell,B cell,AD,GSE5667,DZ_vs_HC,skin_v1,AD__GSE5667__GPL96__AD_vs_HC,-0.000726457,0.186719686,datasets,12 | 5,atopic,0.650549451
Immune,Dendritic cell,conventional dendritic cell 2,AD,GSE5667,DZ_vs_HC,skin_v1,AD__GSE5667__GPL96__AD_vs_HC,0.003008718,1.195613399,datasets,12 | 5,atopic,0.063736264
Immune,Dendritic cell,migratory conventional dendritic cell,AD,GSE5667,DZ_vs_HC,skin_v1,AD__GSE5667__GPL96__AD_vs_HC,-0.001379994,1.195613399,datasets,12 | 5,atopic,0.063736264
Immune,Dendritic cell,dendritic cell,AD,GSE5667,DZ_vs_HC,skin_v1,AD__GSE5667__GPL96__AD_vs_HC,0.001383681,0.343617439,datasets,12 | 5,atopic,0.453296703
Immune,Dendritic cell,Langerhans cell,AD,GSE5667,DZ_vs_HC,skin_v1,AD__GSE5667__GPL96__AD_vs_HC,7.659180573e-05,0.013150957,datasets,12 | 5,atopic,0.970172684
Immune,Granulocyte,mast cell,AD,GSE5667,DZ_vs_HC,skin_v1,AD__GSE5667__GPL96__AD_vs_HC,-0.000311808,0.274794645,datasets,12 | 5,atopic,0.531135531
Immune,Granulocyte,granulocyte,AD,GSE5667,DZ_vs_HC,skin_v1,AD__GSE5667__GPL96__AD_vs_HC,-0.000311808,0.274794645,datasets,12 | 5,atopic,0.531135531
Immune,Innate lymphoid cell,natural killer cell,AD,GSE5667,DZ_vs_HC,skin_v1,AD__GSE5667__GPL96__AD_vs_HC,0.001970456,0.293388253,datasets,12 | 5,atopic,0.508875740
Immune,Innate lymphoid cell,innate lymphoid cell,AD,GSE5667,DZ_vs_HC,skin_v1,AD__GSE5667__GPL96__AD_vs_HC,-2.998023354e-07,0.253983048,datasets,12 | 5,atopic,0.557207498
Immune,Macrophage,macrophage,AD,GSE5667,DZ_vs_HC,skin_v1,AD__GSE5667__GPL96__AD_vs_HC,0.010453844,1.356981401,datasets,12 | 5,atopic,0.043956044
Immune,Monocyte,monocyte,AD,GSE5667,DZ_vs_HC,skin_v1,AD__GSE5667__GPL96__AD_vs_HC,-1.435779445e-08,0.056168607,datasets,12 | 5,atopic,0.878681319
Immune,T cell,CD4+ T cell,AD,GSE5667,DZ_vs_HC,skin_v1,AD__GSE5667__GPL96__AD_vs_HC,0.001662998,1.195613399,datasets,12 | 5,atopic,0.063736264
Immune,T cell,regulatory T cell,AD,GSE5667,DZ_vs_HC,skin_v1,AD__GSE5667__GPL96__AD_vs_HC,0.001240590,1.195613399,datasets,12 | 5,atopic,0.063736264
Immune,T cell,CD4+ memory T cell,AD,GSE5667,DZ_vs_HC,skin_v1,AD__GSE5667__GPL96__AD_vs_HC,0.000425496,0.401018911,datasets,12 | 5,atopic,0.397174254
Immune,T cell,effector memory CD8+ T cell,AD,GSE5667,DZ_vs_HC,skin_v1,AD__GSE5667__GPL96__AD_vs_HC,8.324706261e-08,0.145174590,datasets,12 | 5,atopic,0.715855573
Immune,T cell,CD8+ T cell,AD,GSE5667,DZ_vs_HC,skin_v1,AD__GSE5667__GPL96__AD_vs_HC,0.000150534,0.089565206,datasets,12 | 5,atopic,0.813644689
Immune,T cell,resident memory CD8+ T cell,AD,GSE5667,DZ_vs_HC,skin_v1,AD__GSE5667__GPL96__AD_vs_HC,0.000150444,0.089565206,datasets,12 | 5,atopic,0.813644689
Stromal,Endothelial cell,lymphatic endothelial cell,AD,GSE5667,DZ_vs_HC,skin_v1,AD__GSE5667__GPL96__AD_vs_HC,-0.001785050,0.818114550,datasets,12 | 5,atopic,0.152014652
Stromal,Endothelial cell,endothelial cell,AD,GSE5667,DZ_vs_HC,skin_v1,AD__GSE5667__GPL96__AD_vs_HC,-0.002434091,0.355897020,datasets,12 | 5,atopic,0.440659341
Stromal,Endothelial cell,artery endothelial cell,AD,GSE5667,DZ_vs_HC,skin_v1,AD__GSE5667__GPL96__AD_vs_HC,9.120259557e-09,0.005091436,datasets,12 | 5,atopic,0.988344988
Stromal,Endothelial cell,vein endothelial cell,AD,GSE5667,DZ_vs_HC,skin_v1,AD__GSE5667__GPL96__AD_vs_HC,1.572550528e-09,0.005091436,datasets,12 | 5,atopic,0.988344988
Stromal,Endothelial cell,capillary endothelial cell,AD,GSE5667,DZ_vs_HC,skin_v1,AD__GSE5667__GPL96__AD_vs_HC,-6.979970835e-05,0,datasets,12 | 5,atopic,1
Stromal,Fibroblast,structural skin fibroblast,AD,GSE5667,DZ_vs_HC,skin_v1,AD__GSE5667__GPL96__AD_vs_HC,-0.008003522,0.355897020,datasets,12 | 5,atopic,0.440659341
Stromal,Fibroblast,fibroblast,AD,GSE5667,DZ_vs_HC,skin_v1,AD__GSE5667__GPL96__AD_vs_HC,-0.007532436,0.343617439,datasets,12 | 5,atopic,0.453296703
Stromal,Fibroblast,inflammatory skin fibroblast,AD,GSE5667,DZ_vs_HC,skin_v1,AD__GSE5667__GPL96__AD_vs_HC,0.000399723,0.005091436,datasets,12 | 5,atopic,0.988344988
Stromal,Stromal cell,pericyte,AD,GSE5667,DZ_vs_HC,skin_v1,AD__GSE5667__GPL96__AD_vs_HC,-0.000589416,0.106949731,datasets,12 | 5,atopic,0.781718282
Stromal,Stromal cell,noncontractile pericyte,AD,GSE5667,DZ_vs_HC,skin_v1,AD__GSE5667__GPL96__AD_vs_HC,2.909128985e-05,0.005091436,datasets,12 | 5,atopic,0.988344988
,,contractile pericyte,AD,GSE6012,DZ_vs_HC,skin_v1,AD__GSE6012__GPL96__AD_vs_HC,-0.004468411,2.511104823,datasets,10 | 10,atopic,0.003082444
Epithelial,Epithelial cell,melanocyte,AD,GSE6012,DZ_vs_HC,skin_v1,AD__GSE6012__GPL96__AD_vs_HC,-0.007593811,3.053878397,datasets,10 | 10,atopic,0.000883327
Epithelial,Epithelial cell,prickle cell,AD,GSE6012,DZ_vs_HC,skin_v1,AD__GSE6012__GPL96__AD_vs_HC,-0.001844879,2.245317348,datasets,10 | 10,atopic,0.005684374
Epithelial,Epithelial cell,granular cell of epidermis,AD,GSE6012,DZ_vs_HC,skin_v1,AD__GSE6012__GPL96__AD_vs_HC,0.010119546,0.946407511,datasets,10 | 10,atopic,0.113133830
Epithelial,Epithelial cell,basal cell of epidermis,AD,GSE6012,DZ_vs_HC,skin_v1,AD__GSE6012__GPL96__AD_vs_HC,-0.002204317,0.492664633,datasets,10 | 10,atopic,0.321614312
Epithelial,Epithelial cell,keratinocyte,AD,GSE6012,DZ_vs_HC,skin_v1,AD__GSE6012__GPL96__AD_vs_HC,0.006096933,0.351196605,datasets,10 | 10,atopic,0.445454545
Immune,B cell,plasma cell,AD,GSE6012,DZ_vs_HC,skin_v1,AD__GSE6012__GPL96__AD_vs_HC,-0.000799918,0.472972419,datasets,10 | 10,atopic,0.336532941
Immune,B cell,B cell,AD,GSE6012,DZ_vs_HC,skin_v1,AD__GSE6012__GPL96__AD_vs_HC,-0.000799918,0.472972419,datasets,10 | 10,atopic,0.336532941
Immune,Dendritic cell,conventional dendritic cell 2,AD,GSE6012,DZ_vs_HC,skin_v1,AD__GSE6012__GPL96__AD_vs_HC,0.004088514,1.517635690,datasets,10 | 10,atopic,0.030364372
Immune,Dendritic cell,migratory conventional dendritic cell,AD,GSE6012,DZ_vs_HC,skin_v1,AD__GSE6012__GPL96__AD_vs_HC,-0.001990787,0.722229707,datasets,10 | 10,atopic,0.189570298
Immune,Dendritic cell,Langerhans cell,AD,GSE6012,DZ_vs_HC,skin_v1,AD__GSE6012__GPL96__AD_vs_HC,-0.000823345,0.492664633,datasets,10 | 10,atopic,0.321614312
Immune,Dendritic cell,dendritic cell,AD,GSE6012,DZ_vs_HC,skin_v1,AD__GSE6012__GPL96__AD_vs_HC,0.001891017,0.352502323,datasets,10 | 10,atopic,0.444117286
Immune,Granulocyte,mast cell,AD,GSE6012,DZ_vs_HC,skin_v1,AD__GSE6012__GPL96__AD_vs_HC,-0.000477601,0.702098189,datasets,10 | 10,atopic,0.198564593
Immune,Granulocyte,granulocyte,AD,GSE6012,DZ_vs_HC,skin_v1,AD__GSE6012__GPL96__AD_vs_HC,-0.000477601,0.702098189,datasets,10 | 10,atopic,0.198564593
Immune,Innate lymphoid cell,natural killer cell,AD,GSE6012,DZ_vs_HC,skin_v1,AD__GSE6012__GPL96__AD_vs_HC,0.002990549,0.895103205,datasets,10 | 10,atopic,0.127320048
Immune,Innate lymphoid cell,innate lymphoid cell,AD,GSE6012,DZ_vs_HC,skin_v1,AD__GSE6012__GPL96__AD_vs_HC,3.244172952e-10,0,datasets,10 | 10,atopic,1
Immune,Macrophage,macrophage,AD,GSE6012,DZ_vs_HC,skin_v1,AD__GSE6012__GPL96__AD_vs_HC,0.015781551,3.066112853,datasets,10 | 10,atopic,0.000858790
Immune,Monocyte,monocyte,AD,GSE6012,DZ_vs_HC,skin_v1,AD__GSE6012__GPL96__AD_vs_HC,-1.935763953e-08,0.187330016,datasets,10 | 10,atopic,0.649635851
Immune,T cell,CD4+ T cell,AD,GSE6012,DZ_vs_HC,skin_v1,AD__GSE6012__GPL96__AD_vs_HC,0.004390726,3.066112853,datasets,10 | 10,atopic,0.000858790
