Cell Typeold,Effect ID,Platform,Experiment ID,Term,platform_id,comparison_id,Estimate Up Down,stage,Group Size,Disease Name,fdr,significant
vein endothelial cell,tumor,microarray,GSE18105,tumor_vs_tumor_adjacent,crc_v6,tumor__GSE18105__GPL570__tumor_vs_tumor_adjacent,Down,datasets,12 | 12,io_colorectal_cancer,0.002197266,TRUE
smooth muscle cell,tumor,microarray,GSE18105,tumor_vs_tumor_adjacent,crc_v6,tumor__GSE18105__GPL570__tumor_vs_tumor_adjacent,Down,datasets,12 | 12,io_colorectal_cancer,0.002197266,TRUE
S3 fibroblast,tumor,microarray,GSE18105,tumor_vs_tumor_adjacent,crc_v6,tumor__GSE18105__GPL570__tumor_vs_tumor_adjacent,Down,datasets,12 | 12,io_colorectal_cancer,0.002197266,TRUE
plasma cell,tumor,microarray,GSE18105,tumor_vs_tumor_adjacent,crc_v6,tumor__GSE18105__GPL570__tumor_vs_tumor_adjacent,Down,datasets,12 | 12,io_colorectal_cancer,0.002197266,TRUE
intestine goblet cell,tumor,microarray,GSE18105,tumor_vs_tumor_adjacent,crc_v6,tumor__GSE18105__GPL570__tumor_vs_tumor_adjacent,Down,datasets,12 | 12,io_colorectal_cancer,0.002197266,TRUE
intestinal epithelial cell,tumor,microarray,GSE18105,tumor_vs_tumor_adjacent,crc_v6,tumor__GSE18105__GPL570__tumor_vs_tumor_adjacent,Down,datasets,12 | 12,io_colorectal_cancer,0.002197266,TRUE
immature intestine goblet cell,tumor,microarray,GSE18105,tumor_vs_tumor_adjacent,crc_v6,tumor__GSE18105__GPL570__tumor_vs_tumor_adjacent,Down,datasets,12 | 12,io_colorectal_cancer,0.002197266,TRUE
enteroendocrine cell,tumor,microarray,GSE18105,tumor_vs_tumor_adjacent,crc_v6,tumor__GSE18105__GPL570__tumor_vs_tumor_adjacent,Down,datasets,12 | 12,io_colorectal_cancer,0.002197266,TRUE
enterocyte,tumor,microarray,GSE18105,tumor_vs_tumor_adjacent,crc_v6,tumor__GSE18105__GPL570__tumor_vs_tumor_adjacent,Down,datasets,12 | 12,io_colorectal_cancer,0.002197266,TRUE
conventional dendritic cell 2,tumor,microarray,GSE18105,tumor_vs_tumor_adjacent,crc_v6,tumor__GSE18105__GPL570__tumor_vs_tumor_adjacent,Down,datasets,12 | 12,io_colorectal_cancer,0.002197266,TRUE
malignant intestine goblet cell,tumor,microarray,GSE18105,tumor_vs_tumor_adjacent,crc_v6,tumor__GSE18105__GPL570__tumor_vs_tumor_adjacent,Down,datasets,12 | 12,io_colorectal_cancer,0.003515625,TRUE
malignant BEST4+ intestinal epithelial cell,tumor,microarray,GSE18105,tumor_vs_tumor_adjacent,crc_v6,tumor__GSE18105__GPL570__tumor_vs_tumor_adjacent,Down,datasets,12 | 12,io_colorectal_cancer,0.003515625,TRUE
